time,size,
57.933,9064,P
58,154452,I
58.066,10142,P
58.133,3551,P
58.2,3541,P
58.266,3151,P
58.333,3087,P
58.4,3026,P
58.466,3366,P
58.533,3684,P
58.6,3320,P
58.666,2982,P
58.733,2936,P
58.8,2943,P
58.866,2785,P
58.933,3182,P
59,2924,P
59.066,2811,P
59.133,3323,P
59.2,3034,P
59.266,2910,P
59.333,2864,P
59.4,2866,P
59.466,2833,P
59.533,2859,P
59.6,2803,P
59.666,3044,P
59.733,3183,P
59.8,2893,P
59.866,2706,P
59.933,2808,P
60,154390,I
60.066,8325,P
60.133,3280,P
60.2,3942,P
60.266,3100,P
60.333,3433,P
60.4,3787,P
60.466,3104,P
60.533,2931,P
60.6,2979,P
60.666,3102,P
60.733,2840,P
60.8,2821,P
60.866,2831,P
60.933,3268,P
61,2902,P
61.066,2817,P
61.133,2751,P
61.2,2844,P
61.266,3494,P
61.333,2870,P
61.4,2904,P
61.466,2758,P
61.533,3170,P
61.6,2984,P
61.666,2729,P
61.733,2802,P
61.8,2912,P
61.866,2837,P
